client_code,company_name,contact_person,contact_email,country,total_balance
CLT-0393,Orion Fund 393,David Brown,contact.393@client-393.com,FR,292115179.69
CLT-0434,Polaris Global 434,Olivia Patel,contact.434@client-434.com,CA,282316990.70
CLT-0118,Centaurus Pension 118,Noah Kim,contact.118@client-118.com,AU,279776013.56
CLT-0493,Solaris Pension 493,Noah Kim,contact.493@client-493.com,AU,277131242.79
CLT-0063,Orion Fund 63,David Brown,contact.63@client-63.com,FR,274292160.02
CLT-0833,Jupiter Wealth 833,Iris Clark,contact.833@client-833.com,IT,273049236.16
CLT-0275,Apex Holdings 275,Frank Wilson,contact.275@client-275.com,CH,266423622.91
CLT-0948,Titan Fund 948,David Brown,contact.948@client-948.com,FR,262879108.46
CLT-0622,Neptune Securities 622,Henry Martin,contact.622@client-622.com,ES,261503612.02
CLT-0770,Olympus Holdings 770,Frank Wilson,contact.770@client-770.com,CH,261325011.88
CLT-0338,Pinnacle Wealth 338,Iris Clark,contact.338@client-338.com,IT,260934736.16
CLT-0171,Pegasus Asset Management 171,Grace Lee,contact.171@client-171.com,BE,257538052.24
CLT-0421,Zenith Partners 421,Bob Smith,contact.421@client-421.com,GB,253468856.65
CLT-0934,Nexus Group 934,Emma Davis,contact.934@client-934.com,NL,253413841.37
CLT-0289,Phoenix Group 289,Emma Davis,contact.289@client-289.com,NL,252302346.58
CLT-0961,Zenith Partners 961,Bob Smith,contact.961@client-961.com,GB,250823661.24
CLT-0187,Summit Securities 187,Henry Martin,contact.187@client-187.com,ES,250308053.94
CLT-0356,Sirius Bank 356,Liam Chen,contact.356@client-356.com,HK,250246202.88
CLT-0215,Apex Holdings 215,Frank Wilson,contact.215@client-215.com,CH,249951751.64
CLT-0116,Sirius Bank 116,Liam Chen,contact.116@client-116.com,HK,249288441.89
CLT-0084,Saturn Trust 84,James Taylor,contact.84@client-84.com,LU,248621783.01
CLT-0001,Zenith Partners 1,Bob Smith,contact.1@client-1.com,GB,248297386.05
CLT-0545,Apex Holdings 545,Frank Wilson,contact.545@client-545.com,CH,246921193.95
CLT-0096,Vertex Asset Management 96,Grace Lee,contact.96@client-96.com,BE,245675869.73
CLT-0202,Neptune Securities 202,Henry Martin,contact.202@client-202.com,ES,244668775.00
CLT-0674,Polaris Global 674,Olivia Patel,contact.674@client-674.com,CA,244655427.46
CLT-0273,Orion Fund 273,David Brown,contact.273@client-273.com,FR,243422109.64
CLT-0581,Meridian Bank 581,Liam Chen,contact.581@client-581.com,HK,242468879.88
CLT-0544,Nexus Group 544,Emma Davis,contact.544@client-544.com,NL,242446539.81
CLT-0788,Pinnacle Wealth 788,Iris Clark,contact.788@client-788.com,IT,242021828.72
